Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Galileo Galilei,UK,Engineering,141,Quantum Mechanics,1936,Male,E=mc²,Numerous Honors,Self-taught,Wave mechanics in quantum physics
Charles Darwin,UK,Physics,135,Nuclear Reactor,1917,Female,Research on radioactivity,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Niels Bohr,USA,Mathematics,181,Black Hole Theory,1934,Male,E=mc²,Numerous Honors,Ph.D. in Mathematics,Discovery of electromagnetic induction
Marie Curie,UK,Astronomy,185,Electromagnetic Theory,1962,Male,Quantum Theory,Nobel Prize,Ph.D. in Chemistry,Foundational work in quantum mechanics
Charles Darwin,UK,Physics,133,General Theory of Relativity,1971,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Charles Darwin,USA,Mathematics,135,Electromagnetic Induction,1990,Female,Cosmos,Pulitzer Prize,Ph.D. (honorary),Nuclear physics and reactor development
Michael Faraday,UK,Physics,157,Theory of Evolution,1979,Female,Feynman Lectures,Numerous Posthumous,Ph.D. in Mathematics,Revolutionized modern physics
Albert Einstein,UK,Physics,171,Laws of Motion,1913,Female,Discovery of Electromagnetic Induction,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Erwin Schrödinger,UK,Polymath,175,Electromagnetic Induction,1968,Female,Notes on the Analytical Engine,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Paul Dirac,UK,Astronomy,130,Quantum Mechanics,1976,Female,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Pioneering research in radioactivity
Richard Feynman,Austria,Astronomy,187,Theory of Evolution,1915,Female,Research on radioactivity,Nobel Prize,Ph.D. in Physics,Popularizing science and cosmology
Galileo Galilei,USA,Astronomy,185,Father of Computer Science,1972,Male,On the Origin of Species,N/A,Ph.D. in Chemistry,Evolutionary biology pioneer
Marie Curie,UK,Mathematics,148,Quantum Mechanics,1925,Female,A Brief History of Time,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Stephen Hawking,France,Biology,191,Cosmos Series,1976,Male,Feynman Lectures,Nobel Prize,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Stephen Hawking,Denmark,Chemistry,145,"Mona Lisa, The Last Supper, Inventions",1912,Male,On the Origin of Species,N/A,Ph.D. in Physics,Developed quantum theory
Enrico Fermi,UK,Physics,159,First computer algorithm,1950,Male,E=mc²,Nobel Prize,Ph.D. in Physics,Nuclear physics and reactor development
Isaac Newton,USA,Mathematics,186,Laws of Motion,1977,Female,Theory of Electromagnetism,Numerous Posthumous,Ph.D. (honorary),Foundation of classical mechanics
Ada Lovelace,UK,Physics,139,General Theory of Relativity,1993,Female,E=mc²,Nobel Prize,University of Cambridge,Foundational work in quantum mechanics
Max Planck,UK,Mathematics,175,General Theory of Relativity,1933,Female,Dirac Equation,Nobel Prize,Ph.D. in Physics,Iconic Renaissance artist and inventor
Isaac Newton,Austria,Astronomy,159,Quantum Mechanics,1931,Female,Various Patents,N/A,University of Cambridge,Early pioneer of computer science
Charles Darwin,UK,Biology,186,Quantum Electrodynamics,1980,Female,Fermi Paradox,N/A,University of Pisa,Developed quantum theory
Michael Faraday,Italy,Physics,163,Electromagnetic Theory,1921,Female,Feynman Lectures,Nobel Prize,Self-taught,Contributions to cosmology and quantum gravity
Marie Curie,UK,Mathematics,172,Black Hole Theory,1998,Male,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Major advancements in astronomy
Alan Turing,USA,Mathematics,199,Discovery of Radium and Polonium,1947,Female,Notes on the Analytical Engine,N/A,Ph.D. in Mathematics,Developed quantum theory
Alan Turing,UK,Physics,195,Black Hole Theory,1995,Male,Bohr Model,Nobel Prize,Ph.D. in Astronomy,Evolutionary biology pioneer
James Clerk Maxwell,Denmark,Physics,172,Nuclear Reactor,1986,Female,Research on radioactivity,Nobel Prize,Ph.D. in Physics,Nuclear physics and reactor development
Erwin Schrödinger,UK,Physics,186,Wave Equation,1962,Female,Discovery of Electromagnetic Induction,Two Nobel Prizes,Ph.D. in Physics,Pioneering research in radioactivity
Marie Curie,UK,Physics,170,Quantum Mechanics,1903,Male,On the Origin of Species,Royal Medal,Ph.D. in Physics,Wave mechanics in quantum physics
Carl Sagan,UK,Physics,147,Black Hole Theory,1908,Male,Cosmos,Nobel Prize,Ph.D. in Chemistry,Evolutionary biology pioneer
Stephen Hawking,UK,Physics,169,Heliocentric Theory,2000,Male,Quantum Theory,Royal Medal,Ph.D. in Physics,Penrose's work on black holes and cosmology
Marie Curie,Austria,Chemistry,177,Quantum Theory,1999,Female,Cosmos,Nobel Prize,Ph.D. in Physics,Revolutionized modern physics
Paul Dirac,UK,Physics,166,First computer algorithm,1942,Male,Feynman Lectures,Nobel Prize,Self-taught,Revolutionized modern physics
Erwin Schrödinger,USA,Physics,171,Electromagnetic Induction,1970,Male,Cosmos,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Charles Darwin,USA,Physics,146,Laws of Motion,1967,Male,Various Patents,Numerous Honors,Ph.D. in Chemistry,Nuclear physics and reactor development
James Clerk Maxwell,UK,Physics,178,Theory of Relativity,1916,Male,Cosmos,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Richard Feynman,Italy,Physics,134,Electromagnetic Induction,1920,Female,Penrose Diagram,Pulitzer Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Leonardo da Vinci,UK,Mathematics,144,Father of Computer Science,1975,Male,On Computable Numbers,Nobel Prize,University of Cambridge,Foundation of classical mechanics
Stephen Hawking,UK,Biology,195,Theory of Evolution,1938,Female,A Brief History of Time,Nobel Prize,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Galileo Galilei,Italy,Chemistry,198,Quantum Theory,1961,Male,Notes on the Analytical Engine,Numerous Posthumous,Ph.D. in Physics,Unified theory of electromagnetism
Michael Faraday,USA,Physics,165,Discovery of Radium and Polonium,1980,Female,Bohr Model,Nobel Prize,Ph.D. in Mathematics,Inventor and electrical engineering pioneer
Leonardo da Vinci,Italy,Chemistry,181,Quantum Electrodynamics,1920,Female,Fermi Paradox,Two Nobel Prizes,Ph.D. in Mathematics,Foundational work in quantum mechanics
Isaac Newton,France,Chemistry,196,Electromagnetic Induction,1930,Female,Theory of Electromagnetism,Nobel Prize,Self-taught,Foundation of classical mechanics
Charles Darwin,UK,Astronomy,194,Nuclear Reactor,1906,Female,Research on radioactivity,N/A,Ph.D. in Chemistry,Foundation of classical mechanics
Richard Feynman,Italy,Chemistry,142,Theory of Relativity,1917,Female,Dirac Equation,Nobel Prize,Ph.D. in Chemistry,Popularizing science and cosmology
Albert Einstein,UK,Mathematics,157,Nuclear Reactor,1987,Male,Vitruvian Man,Nobel Prize,Ph.D. in Astronomy,Laid the groundwork for modern computing
Roger Penrose,UK,Chemistry,151,Wave Equation,1937,Male,Research on radioactivity,Numerous Posthumous,University of Pisa,Revolutionized modern physics
Alan Turing,UK,Astronomy,176,Electromagnetic Theory,1923,Female,On Computable Numbers,Nobel Prize,Ph.D. in Astronomy,Evolutionary biology pioneer
Max Planck,Italy,Chemistry,145,Wave Equation,1932,Male,Various Patents,Royal Medal,Ph.D.,Contributions to cosmology and quantum gravity
Marie Curie,USA,Physics,179,"Mona Lisa, The Last Supper, Inventions",1968,Male,Penrose Diagram,Copley Medal,Ph.D. in Chemistry,Evolutionary biology pioneer
Ada Lovelace,UK,Polymath,132,Quantum Theory,1947,Male,Cosmos,N/A,Ph.D. in Chemistry,Foundational work in quantum mechanics
Galileo Galilei,UK,Physics,139,Electromagnetic Induction,1934,Male,On the Origin of Species,N/A,Ph.D. in Chemistry,Laid the groundwork for modern computing
Enrico Fermi,UK,Astronomy,179,Father of Computer Science,1959,Male,Vitruvian Man,Numerous Honors,Ph.D. in Astronomy,Early pioneer of computer science
Paul Dirac,UK,Mathematics,142,Quantum Electrodynamics,1985,Male,Quantum Theory,N/A,Ph.D. (honorary),Early pioneer of computer science
Albert Einstein,UK,Physics,198,Electromagnetic Theory,1968,Male,Bohr Model,Numerous Honors,Ph.D. (honorary),Popularizing science and cosmology
Alan Turing,USA,Engineering,199,Father of Computer Science,1909,Male,Dirac Equation,Nobel Prize,Ph.D. in Physics,Laid the groundwork for modern computing
Erwin Schrödinger,Austria,Chemistry,172,Quantum Mechanics,1927,Male,Various Patents,Numerous Honors,Ph.D. (honorary),Contributions to cosmology and quantum gravity
Charles Darwin,UK,Astronomy,169,Quantum Mechanics,1937,Female,Dialogue Concerning the Two Chief World Systems,N/A,University of Cambridge,Evolutionary biology pioneer
Isaac Newton,UK,Chemistry,155,Quantum Theory,1984,Female,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Galileo Galilei,Denmark,Physics,185,Black Hole Theory,1947,Female,Quantum Theory,Royal Medal,Self-taught,Popularizing science and cosmology
Roger Penrose,USA,Physics,174,Father of Computer Science,1973,Female,Fermi Paradox,Nobel Prize,Ph.D. in Physics,Revolutionized modern physics
Niels Bohr,UK,Physics,155,Discovery of Radium and Polonium,1973,Male,Various Patents,Nobel Prize,Ph.D. in Physics,Foundational work in quantum mechanics
Erwin Schrödinger,Germany,Physics,141,"AC Electricity, Tesla Coil",1914,Male,Vitruvian Man,Nobel Prize,Ph.D. in Astronomy,Wave mechanics in quantum physics
Isaac Newton,Italy,Engineering,166,Father of Computer Science,1952,Male,Vitruvian Man,Royal Medal,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Roger Penrose,UK,Biology,131,Discovery of Radium and Polonium,1903,Female,A Brief History of Time,Copley Medal,Ph.D. in Chemistry,Inventor and electrical engineering pioneer
Ada Lovelace,France,Physics,152,Theory of Evolution,1982,Male,Quantum Theory,N/A,Ph.D. in Physics,Laid the groundwork for modern computing
Albert Einstein,UK,Mathematics,130,Discovery of Radium and Polonium,1941,Female,E=mc²,Pulitzer Prize,Self-taught,Contributions to cosmology and quantum gravity
Enrico Fermi,UK,Physics,142,Electromagnetic Theory,1919,Female,Fermi Paradox,N/A,Ph.D. in Astronomy,Developed quantum theory
Enrico Fermi,UK,Physics,173,Heliocentric Theory,1995,Female,Schrödinger Equation,N/A,Ph.D. in Physics,Early pioneer of computer science
Marie Curie,Italy,Astronomy,149,Father of Computer Science,1949,Male,Fermi Paradox,N/A,Ph.D. in Physics,Foundation of classical mechanics
Carl Sagan,France,Astronomy,187,Father of Computer Science,1901,Male,Feynman Lectures,Nobel Prize,Ph.D. in Mathematics,Popularizing science and cosmology
Roger Penrose,UK,Mathematics,140,Wave Equation,1970,Male,Vitruvian Man,Numerous Posthumous,Ph.D. in Physics,Iconic Renaissance artist and inventor
Galileo Galilei,UK,Physics,189,Electromagnetic Theory,1927,Male,On Computable Numbers,N/A,Ph.D. in Mathematics,Evolutionary biology pioneer
Michael Faraday,UK,Physics,155,"Mona Lisa, The Last Supper, Inventions",1989,Male,Notes on the Analytical Engine,N/A,Ph.D. in Mathematics,Revolutionized modern physics
James Clerk Maxwell,UK,Physics,174,Black Hole Theory,1936,Male,Feynman Lectures,N/A,University of Cambridge,Laid the groundwork for modern computing
Michael Faraday,Italy,Physics,151,Black Hole Theory,1959,Male,Fermi Paradox,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Stephen Hawking,Italy,Mathematics,137,Quantum Mechanics,1929,Male,Vitruvian Man,Nobel Prize,Self-taught,Penrose's work on black holes and cosmology
Richard Feynman,UK,Physics,172,Black Hole Theory,1917,Female,Fermi Paradox,Nobel Prize,University of Cambridge,Quantum electrodynamics and physics teaching
Enrico Fermi,UK,Chemistry,132,Wave Equation,1977,Male,Cosmos,Nobel Prize,Ph.D. in Physics,Revolutionized modern physics
Roger Penrose,Germany,Mathematics,199,Wave Equation,1936,Female,A Brief History of Time,Numerous Honors,Ph.D. in Physics,Developed quantum theory
Albert Einstein,USA,Physics,162,Theory of Evolution,1934,Male,On the Origin of Species,Nobel Prize,Ph.D.,Major advancements in astronomy
Charles Darwin,UK,Astronomy,142,Father of Computer Science,1986,Female,On the Origin of Species,Pulitzer Prize,Self-taught,Evolutionary biology pioneer
Nikola Tesla,Denmark,Physics,172,Quantum Electrodynamics,1967,Female,Schrödinger Equation,Numerous Posthumous,Ph.D. in Physics,Unified theory of electromagnetism
Marie Curie,USA,Mathematics,147,Discovery of Radium and Polonium,1962,Female,E=mc²,Nobel Prize,Ph.D. in Physics,Wave mechanics in quantum physics
Charles Darwin,UK,Chemistry,162,Electromagnetic Theory,1989,Female,Penrose Diagram,N/A,Ph.D. in Mathematics,Penrose's work on black holes and cosmology
Leonardo da Vinci,UK,Astronomy,145,Discovery of Radium and Polonium,1963,Male,E=mc²,Numerous Honors,Ph.D. in Physics,Foundational work in quantum mechanics
Alan Turing,USA,Engineering,159,Father of Computer Science,1990,Female,Dialogue Concerning the Two Chief World Systems,Pulitzer Prize,Ph.D. in Physics,Pioneering research in radioactivity
Galileo Galilei,UK,Biology,153,Discovery of Radium and Polonium,1981,Female,Notes on the Analytical Engine,Royal Medal,Self-taught,Inventor and electrical engineering pioneer
Carl Sagan,UK,Mathematics,173,Theory of Evolution,1941,Male,Cosmos,Nobel Prize,University of Cambridge,Pioneering research in radioactivity
James Clerk Maxwell,UK,Physics,190,Cosmos Series,1951,Male,Bohr Model,Two Nobel Prizes,Ph.D. in Physics,Laid the groundwork for modern computing
Erwin Schrödinger,Italy,Physics,140,"Mona Lisa, The Last Supper, Inventions",2000,Female,Dialogue Concerning the Two Chief World Systems,Numerous Honors,Ph.D. in Physics,Revolutionized modern physics
Albert Einstein,UK,Physics,177,Nuclear Reactor,1981,Female,Vitruvian Man,Nobel Prize,Ph.D. in Physics,Unified theory of electromagnetism
Ada Lovelace,UK,Mathematics,149,Heliocentric Theory,1901,Female,Quantum Theory,Copley Medal,Ph.D. in Physics,Discovery of electromagnetic induction
Galileo Galilei,UK,Mathematics,138,Discovery of Radium and Polonium,1909,Male,Quantum Theory,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Carl Sagan,UK,Physics,192,Black Hole Theory,1974,Male,On Computable Numbers,N/A,Ph.D.,Contributions to cosmology and quantum gravity
Michael Faraday,Austria,Physics,184,"Mona Lisa, The Last Supper, Inventions",1913,Male,Dirac Equation,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Isaac Newton,UK,Mathematics,169,"AC Electricity, Tesla Coil",1904,Male,Bohr Model,N/A,Ph.D.,Foundational work in quantum mechanics
Ada Lovelace,Austria,Physics,178,Electromagnetic Theory,1985,Male,Discovery of Electromagnetic Induction,Nobel Prize,Ph.D. in Physics,Early pioneer of computer science
Stephen Hawking,Italy,Physics,157,Discovery of Radium and Polonium,1920,Male,Dirac Equation,N/A,Ph.D. in Physics,Inventor and electrical engineering pioneer
James Clerk Maxwell,UK,Physics,169,Quantum Theory,1905,Male,Theory of Electromagnetism,N/A,Ph.D.,Inventor and electrical engineering pioneer
Erwin Schrödinger,UK,Mathematics,191,General Theory of Relativity,1997,Male,Philosophiæ Naturalis Principia Mathematica,N/A,Ph.D. in Mathematics,Early pioneer of computer science
Carl Sagan,UK,Mathematics,152,Quantum Mechanics,1964,Female,Dirac Equation,Nobel Prize,Ph.D. in Chemistry,Inventor and electrical engineering pioneer
Nikola Tesla,UK,Physics,179,Theory of Evolution,1959,Female,Vitruvian Man,Nobel Prize,Ph.D. in Physics,Inventor and electrical engineering pioneer
Michael Faraday,UK,Mathematics,170,Nuclear Reactor,1906,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Max Planck,UK,Physics,155,Nuclear Reactor,1982,Female,Schrödinger Equation,Copley Medal,Ph.D. in Physics,Developed quantum theory
James Clerk Maxwell,UK,Physics,185,Heliocentric Theory,1924,Male,Various Patents,Nobel Prize,Ph.D. in Mathematics,Laid the groundwork for modern computing
Niels Bohr,USA,Physics,131,Heliocentric Theory,1983,Female,Penrose Diagram,Numerous Honors,Ph.D. (honorary),Foundational work in quantum mechanics
Alan Turing,UK,Physics,165,Father of Computer Science,1980,Female,Feynman Lectures,Nobel Prize,Ph.D. (honorary),Developed quantum theory
Nikola Tesla,UK,Physics,133,Black Hole Theory,1987,Male,Research on radioactivity,Nobel Prize,Ph.D.,Contributions to cosmology and quantum gravity
Richard Feynman,UK,Mathematics,143,Wave Equation,1900,Male,E=mc²,Numerous Honors,Self-taught,Laid the groundwork for modern computing
Alan Turing,Austria,Physics,193,Wave Equation,1946,Female,Feynman Lectures,N/A,Ph.D. in Physics,Foundational work in quantum mechanics
Isaac Newton,UK,Mathematics,158,Black Hole Theory,1961,Male,Fermi Paradox,Numerous Posthumous,Self-taught,Laid the groundwork for modern computing
Niels Bohr,UK,Physics,163,General Theory of Relativity,1980,Female,Penrose Diagram,N/A,Ph.D. in Mathematics,Wave mechanics in quantum physics
Marie Curie,Italy,Engineering,153,Theory of Evolution,1999,Male,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Mathematics,Iconic Renaissance artist and inventor
Max Planck,UK,Physics,195,Cosmos Series,1900,Female,Feynman Lectures,N/A,Ph.D. in Physics,Penrose's work on black holes and cosmology
Paul Dirac,Italy,Chemistry,158,Quantum Electrodynamics,1919,Female,On Computable Numbers,Nobel Prize,Ph.D.,Major advancements in astronomy
Michael Faraday,UK,Physics,147,First computer algorithm,1943,Male,Notes on the Analytical Engine,N/A,Ph.D. in Physics,Pioneering research in radioactivity
